KitNo,PickListNo,Station,Kitter,UniqueNo,ItemNo,ItemDescription,Quantity,Location,SerialNo
01S03S1001,01S03S1001270222021123030,ST3,Akshay,W20215847,9097510801,SET-VESSEL GA55+-78,2,"42 AO2","#03-PNE110398, #04-PNE110480"
01S03S1001,01S03S1001270222021123030,ST3,Akshay,W20215847,9097510802,SET-VESSEL GA37+99,2,"52 AC1","#01-PNE110498, #02-PNE110479"
